start, end, rq_time, request_id
44266, 15199, 6772.96, Request_75
35466, 23425, 6776.86, Request_76
54958, 44993, 6807.01, Request_77
32502, 7521, 6840.51, Request_78
6508, 30015, 6849.44, Request_79
6508, 30015, 6849.44, Request_80
13162, 41843, 6897.07, Request_81
53764, 12907, 6950.69, Request_82
10066, 45273, 7032.07, Request_83
10372, 3979, 7198.53, Request_84
25444, 48085, 7263.33, Request_85
50334, 43513, 7404.85, Request_86
50334, 43513, 7404.85, Request_87
54958, 29227, 7467.82, Request_88
11804, 7711, 7503.45, Request_89
45898, 4057, 7545.44, Request_90
24624, 50017, 7574.44, Request_91
53716, 25445, 7697.76, Request_92
48892, 54971, 8002.03, Request_93
32488, 26391, 8101.6, Request_94
2630, 31683, 8121.55, Request_95
12358, 18329, 8297.57, Request_96
27490, 3019, 8387.89, Request_97
35664, 38579, 8460.38, Request_98
15746, 54971, 8508.05, Request_99
13806, 18329, 8511.45, Request_100
17528, 18329, 8519.38, Request_101
20068, 54971, 8545.51, Request_102
4374, 26875, 8575.61, Request_103
40006, 3981, 8582.81, Request_104
43722, 2631, 8610.38, Request_105
20620, 43843, 8695.78, Request_106
2958, 3675, 8869.8, Request_107
18438, 54971, 8934.74, Request_108
50028, 44173, 9016.71, Request_109
6854, 7027, 9089.34, Request_110
6532, 39459, 9158.17, Request_111
54958, 51825, 9274.51, Request_112
45728, 54971, 9311.72, Request_113
40562, 18329, 9337.95, Request_114
17012, 34423, 9352.48, Request_115
17012, 34423, 9352.48, Request_116
54958, 53563, 9354.46, Request_117
50918, 3067, 9506.3, Request_118
50870, 4597, 9577.27, Request_119
40330, 15199, 9791.96, Request_120
21840, 53199, 10126.46, Request_121
8658, 33427, 10195.54, Request_122
32004, 29533, 10282.13, Request_123
15704, 52951, 10303.27, Request_124
47266, 26139, 10455.01, Request_125
12170, 41183, 10500.5, Request_126
54958, 19765, 10652.28, Request_127
22272, 43691, 10791.17, Request_128
21464, 43143, 10826.49, Request_129
52610, 11227, 10975.3, Request_130
28776, 46727, 11076.49, Request_131
15598, 10037, 11083.06, Request_132
45072, 8005, 11154.77, Request_133
38072, 6237, 11284.47, Request_134
10140, 48517, 11399.54, Request_135
44834, 18329, 11562.29, Request_136
52270, 35853, 11693.83, Request_137
25444, 25757, 11892.61, Request_138
13024, 35687, 11914.09, Request_139
18738, 19521, 12030.66, Request_140
14704, 20771, 12453.49, Request_141
14466, 14157, 12571.21, Request_142
45072, 25935, 12611.59, Request_143
54958, 4973, 13168.62, Request_144
20544, 44781, 13350.9, Request_145
20544, 44781, 13350.9, Request_146
54958, 29533, 13370.25, Request_147
35978, 26813, 13507.61, Request_148
54958, 11183, 13567.55, Request_149
38888, 43045, 13746.17, Request_150
25764, 53329, 13783.35, Request_151
19940, 17359, 13820.76, Request_152
26138, 13493, 13919.74, Request_153
31808, 15199, 14248.7, Request_154
15750, 49603, 14624.82, Request_155
3052, 13493, 14942.65, Request_156
12170, 34427, 15000.62, Request_157
54958, 36099, 15012.84, Request_158
15406, 18773, 15021.56, Request_159
15406, 18773, 15021.56, Request_160
15582, 33469, 15182.13, Request_161
19914, 13885, 15191.76, Request_162
19982, 31681, 15525.56, Request_163
44424, 25445, 15533.23, Request_164
27304, 26875, 15634.57, Request_165
51540, 8615, 15935.2, Request_166
45842, 54033, 16362.03, Request_167
8714, 8341, 16744.75, Request_168
12704, 2631, 16752.56, Request_169
904, 24439, 16843.37, Request_170
19230, 19199, 16934.71, Request_171
38942, 20305, 16940.23, Request_172
33804, 46121, 16944.1, Request_173
26814, 3827, 17006.89, Request_174
36784, 54971, 17150.39, Request_175
54958, 48377, 17222.1, Request_176
51824, 54971, 17341.51, Request_177
26138, 3837, 17524.18, Request_178
19884, 883, 17568.38, Request_179
33832, 37335, 17719.53, Request_180
38942, 50299, 17735.61, Request_181
9062, 41181, 17838.35, Request_182
31010, 20309, 17892.21, Request_183
33640, 8423, 17925.26, Request_184
33640, 8423, 17925.26, Request_185
3980, 33065, 18018.16, Request_186
51024, 54971, 18036.26, Request_187
22786, 22773, 18145.0, Request_188
45072, 31087, 18148.62, Request_189
36500, 45701, 18208.13, Request_190
21464, 4643, 18456.12, Request_191
17150, 463, 18677.07, Request_192
16664, 37335, 18865.61, Request_193
40854, 18329, 19080.25, Request_194
22398, 52273, 19084.09, Request_195
14208, 55213, 19437.58, Request_196
276, 26909, 20004.1, Request_197
21464, 28739, 20221.68, Request_198
45072, 18997, 20450.97, Request_199
15340, 9905, 20870.2, Request_200
33018, 18329, 20878.69, Request_201
22968, 4779, 20986.38, Request_202
15514, 37335, 21041.14, Request_203
20212, 18329, 21188.24, Request_204
45798, 18329, 21235.8, Request_205
26138, 38735, 21326.78, Request_206
21464, 1139, 21540.96, Request_207
9998, 51639, 21634.49, Request_208
21464, 46373, 21642.76, Request_209
26138, 46503, 21773.41, Request_210
30812, 40413, 22376.49, Request_211
21464, 287, 23128.97, Request_212
16010, 19191, 23163.34, Request_213
6016, 23365, 23263.28, Request_214
25444, 4375, 23326.36, Request_215
17450, 31055, 23409.76, Request_216
54958, 33165, 23444.23, Request_217
3636, 28261, 23720.62, Request_218
6044, 4877, 23848.35, Request_219
9954, 15775, 23964.3, Request_220
21464, 54923, 24134.19, Request_221
50762, 9699, 24145.32, Request_222
50870, 4603, 24373.97, Request_223
21464, 8065, 24461.77, Request_224
21464, 29043, 24727.53, Request_225
14892, 4503, 24870.62, Request_226
6500, 5995, 25093.5, Request_227
3674, 36163, 25160.56, Request_228
25842, 24907, 25302.93, Request_229
16590, 32659, 25675.15, Request_230
33928, 3675, 25694.36, Request_231
48666, 28901, 26029.68, Request_232
38942, 8335, 26101.03, Request_233
53490, 53373, 26106.64, Request_234
50870, 43843, 26142.33, Request_235
13864, 37335, 26149.2, Request_236
50870, 10673, 26881.25, Request_237
31174, 32777, 26913.65, Request_238
27472, 37335, 26968.01, Request_239
38942, 15693, 26970.22, Request_240
52610, 6197, 27023.28, Request_241
38942, 36633, 27214.49, Request_242
3120, 4745, 27255.6, Request_243
21464, 3927, 27267.33, Request_244
9954, 52435, 27291.5, Request_245
19230, 37335, 27472.13, Request_246
21464, 53567, 27520.21, Request_247
13698, 2631, 27535.9, Request_248
3526, 26945, 27638.17, Request_249
5580, 49609, 27700.43, Request_250
9954, 54919, 27811.02, Request_251
36636, 49609, 27998.37, Request_252
46136, 17463, 28205.39, Request_253
27484, 37335, 28214.88, Request_254
24470, 15197, 28268.64, Request_255
50870, 50197, 28368.49, Request_256
2894, 33693, 28394.39, Request_257
2512, 4977, 28452.0, Request_258
49450, 27055, 28806.71, Request_259
53062, 52333, 28884.95, Request_260
43748, 14447, 28919.97, Request_261
16488, 971, 29002.46, Request_262
51018, 54477, 29010.69, Request_263
15318, 18643, 29052.87, Request_264
35978, 145, 29085.91, Request_265
11244, 8539, 29122.42, Request_266
54958, 20073, 29133.38, Request_267
3120, 4185, 29246.86, Request_268
47956, 37575, 29327.5, Request_269
45072, 35555, 29334.46, Request_270
31332, 37335, 29357.75, Request_271
22266, 32187, 29480.86, Request_272
9954, 53661, 29481.75, Request_273
15850, 5959, 29556.13, Request_274
12966, 15823, 29556.67, Request_275
1758, 25783, 29583.8, Request_276
21464, 39709, 29649.4, Request_277
31788, 25031, 29669.47, Request_278
10166, 35379, 29706.22, Request_279
50500, 19587, 29740.18, Request_280
8960, 2501, 29756.44, Request_281
36590, 25819, 29761.84, Request_282
22770, 41201, 29796.25, Request_283
41750, 18989, 29802.15, Request_284
47950, 50139, 29884.39, Request_285
44430, 973, 29898.96, Request_286
3908, 30987, 29905.31, Request_287
12148, 47275, 29914.16, Request_288
20842, 34041, 29938.99, Request_289
33690, 26139, 29951.48, Request_290
26998, 14691, 30033.61, Request_291
36508, 19195, 30187.46, Request_292
51746, 54971, 30204.3, Request_293
36838, 23705, 30223.89, Request_294
3884, 6323, 30231.15, Request_295
21464, 7007, 30286.31, Request_296
38992, 45445, 30294.21, Request_297
28890, 16777, 30309.11, Request_298
21464, 53087, 30341.96, Request_299
4184, 53009, 30365.23, Request_300
774, 7149, 30367.75, Request_301
24310, 37335, 30380.15, Request_302
162, 41753, 30414.45, Request_303
8444, 2631, 30441.37, Request_304
3826, 6215, 30492.62, Request_305
39448, 39381, 30558.92, Request_306
32950, 27485, 30770.89, Request_307
50870, 53047, 30797.31, Request_308
19506, 20295, 30806.53, Request_309
3686, 36041, 30818.19, Request_310
6632, 51219, 30835.75, Request_311
12720, 37939, 30839.09, Request_312
30490, 29547, 30850.57, Request_313
46594, 16981, 30861.29, Request_314
24036, 22267, 30876.83, Request_315
28230, 46135, 30935.94, Request_316
12572, 15521, 30945.95, Request_317
46338, 17521, 30947.43, Request_318
21464, 337, 31048.9, Request_319
38942, 9481, 31084.57, Request_320
11992, 8571, 31117.81, Request_321
12168, 7795, 31192.98, Request_322
25444, 2893, 31304.67, Request_323
21942, 24973, 31333.96, Request_324
8570, 35465, 31366.28, Request_325
49594, 37335, 31371.17, Request_326
36778, 5937, 31387.35, Request_327
2500, 24419, 31451.95, Request_328
21464, 35709, 31453.19, Request_329
20344, 26993, 31469.23, Request_330
25444, 23279, 31527.28, Request_331
8320, 15469, 31619.4, Request_332
53804, 9551, 31627.07, Request_333
50714, 8571, 31636.12, Request_334
19146, 42195, 31645.45, Request_335
3674, 53749, 31665.89, Request_336
35812, 1985, 31751.4, Request_337
48678, 22925, 31770.98, Request_338
16460, 3933, 31772.18, Request_339
3884, 6323, 31784.4, Request_340
29072, 33933, 31810.02, Request_341
3984, 26599, 31901.47, Request_342
53852, 50687, 31943.72, Request_343
3502, 28175, 31963.66, Request_344
29878, 14457, 32025.72, Request_345
45072, 35555, 32032.09, Request_346
41024, 15905, 32149.29, Request_347
13730, 22399, 32163.59, Request_348
15858, 38363, 32255.29, Request_349
762, 4005, 32263.52, Request_350
484, 37335, 32281.25, Request_351
21464, 10993, 32284.2, Request_352
51226, 24971, 32297.72, Request_353
36510, 27321, 32344.99, Request_354
18390, 34527, 32387.79, Request_355
14672, 27497, 32414.79, Request_356
49614, 1451, 32450.61, Request_357
26138, 6275, 32492.59, Request_358
43122, 38839, 32550.47, Request_359
44410, 9029, 32598.73, Request_360
13648, 7037, 32616.45, Request_361
35230, 4199, 32717.14, Request_362
24838, 9939, 32892.82, Request_363
10128, 8449, 32953.78, Request_364
25774, 39561, 33031.81, Request_365
29236, 30329, 33123.19, Request_366
51738, 8571, 33129.09, Request_367
45780, 48369, 33148.35, Request_368
46098, 45415, 33184.8, Request_369
220, 15929, 33270.34, Request_370
6412, 21617, 33284.42, Request_371
25778, 25819, 33388.17, Request_372
7826, 53823, 33396.82, Request_373
33678, 15199, 33432.78, Request_374
2524, 38961, 33470.69, Request_375
38888, 42555, 33475.87, Request_376
54958, 5011, 33518.62, Request_377
3078, 26031, 33567.09, Request_378
37744, 6613, 33592.21, Request_379
53058, 16313, 33593.71, Request_380
9954, 3805, 33646.3, Request_381
24752, 37335, 33682.61, Request_382
8334, 37335, 33743.86, Request_383
18396, 52331, 33806.41, Request_384
32298, 33589, 33855.81, Request_385
53144, 50717, 33955.48, Request_386
34116, 29257, 33957.02, Request_387
3626, 8087, 34037.41, Request_388
6612, 20625, 34095.3, Request_389
18256, 12295, 34104.92, Request_390
26674, 37901, 34173.66, Request_391
16344, 37573, 34306.46, Request_392
45086, 41179, 34391.68, Request_393
21598, 46129, 34604.33, Request_394
15904, 38051, 34618.78, Request_395
52956, 2631, 34630.82, Request_396
17554, 22529, 34638.94, Request_397
33900, 36057, 34646.79, Request_398
11820, 8571, 34694.99, Request_399
31464, 50495, 34751.3, Request_400
54958, 31303, 34756.98, Request_401
33920, 3069, 34787.05, Request_402
17720, 41787, 34993.65, Request_403
13162, 39757, 35027.95, Request_404
12570, 16603, 35064.96, Request_405
54958, 33023, 35113.83, Request_406
54306, 49517, 35125.58, Request_407
1990, 34271, 35226.96, Request_408
17366, 26725, 35267.68, Request_409
14296, 16601, 35340.3, Request_410
25444, 27793, 35419.87, Request_411
30048, 15167, 35508.89, Request_412
13794, 18329, 35578.41, Request_413
44042, 20057, 35608.56, Request_414
18012, 32157, 35677.53, Request_415
2902, 2897, 35687.3, Request_416
21464, 17521, 35749.99, Request_417
34148, 15945, 35776.03, Request_418
35394, 42883, 35808.17, Request_419
34044, 24249, 36003.3, Request_420
34044, 24249, 36003.3, Request_421
11386, 26825, 36043.85, Request_422
25330, 36865, 36048.62, Request_423
11978, 6535, 36057.57, Request_424
12570, 10273, 36064.3, Request_425
18376, 37467, 36067.3, Request_426
21238, 25845, 36108.88, Request_427
21238, 25845, 36108.88, Request_428
39144, 22523, 36123.36, Request_429
16622, 18981, 36131.05, Request_430
46778, 10239, 36160.4, Request_431
54958, 22265, 36172.44, Request_432
586, 15993, 36180.01, Request_433
48368, 34313, 36180.26, Request_434
43156, 16791, 36183.09, Request_435
24834, 2297, 36209.65, Request_436
49894, 15565, 36246.46, Request_437
50870, 53975, 36271.0, Request_438
36512, 3523, 36449.85, Request_439
19498, 19515, 36464.43, Request_440
39398, 25545, 36466.75, Request_441
31252, 29559, 36466.94, Request_442
24250, 35033, 36500.71, Request_443
11342, 43465, 36556.2, Request_444
2630, 33155, 36607.71, Request_445
54958, 29245, 36612.26, Request_446
3842, 413, 36615.93, Request_447
17600, 8431, 36678.57, Request_448
42970, 23087, 36694.88, Request_449
4936, 11741, 36807.55, Request_450
9924, 32305, 36934.34, Request_451
16600, 7375, 36938.19, Request_452
18800, 30987, 36954.62, Request_453
6390, 4095, 36968.81, Request_454
3604, 9715, 37086.24, Request_455
36508, 12969, 37160.79, Request_456
20914, 4979, 37167.8, Request_457
29956, 19655, 37171.94, Request_458
31708, 31101, 37188.15, Request_459
6392, 50375, 37197.0, Request_460
31112, 8453, 37225.33, Request_461
29236, 19241, 37265.96, Request_462
7242, 48845, 37270.88, Request_463
10242, 52097, 37283.01, Request_464
4510, 27319, 37370.06, Request_465
19510, 43451, 37460.88, Request_466
12470, 31831, 37525.54, Request_467
53304, 8323, 37566.12, Request_468
20590, 48567, 37591.59, Request_469
7738, 40329, 37680.37, Request_470
42598, 39271, 37713.25, Request_471
9440, 36137, 37713.67, Request_472
52050, 18691, 37715.33, Request_473
47076, 8323, 37715.56, Request_474
50870, 13517, 37981.98, Request_475
18012, 55155, 38020.66, Request_476
24846, 15851, 38025.17, Request_477
18060, 43107, 38046.63, Request_478
4078, 27653, 38137.29, Request_479
6910, 7039, 38137.92, Request_480
29242, 37749, 38224.9, Request_481
48410, 31113, 38257.23, Request_482
24824, 18395, 38266.26, Request_483
24824, 18395, 38266.26, Request_484
24250, 24731, 38278.72, Request_485
27472, 34305, 38317.36, Request_486
3006, 52331, 38334.84, Request_487
40630, 1445, 38385.53, Request_488
6866, 38079, 38408.54, Request_489
45740, 51219, 38577.93, Request_490
29242, 26031, 38582.43, Request_491
33022, 38581, 38617.6, Request_492
3018, 40331, 38685.59, Request_493
25444, 31085, 38722.77, Request_494
31104, 4053, 38726.37, Request_495
41030, 20601, 38740.06, Request_496
8570, 44403, 38765.81, Request_497
28230, 10657, 38831.78, Request_498
17144, 29863, 38856.52, Request_499
428, 13467, 38857.38, Request_500
10392, 13179, 38867.71, Request_501
20862, 15945, 38875.9, Request_502
21464, 1429, 38891.58, Request_503
15132, 7353, 38894.68, Request_504
3834, 36197, 38900.76, Request_505
12046, 6657, 38917.76, Request_506
1802, 9225, 38974.1, Request_507
4106, 18055, 39094.56, Request_508
6680, 27713, 39104.68, Request_509
4098, 31819, 39201.29, Request_510
18390, 32859, 39203.3, Request_511
52934, 36427, 39237.65, Request_512
15234, 18431, 39274.55, Request_513
26842, 19131, 39282.43, Request_514
30750, 2895, 39291.98, Request_515
31354, 10973, 39305.83, Request_516
13488, 15653, 39320.28, Request_517
41818, 21575, 39323.13, Request_518
21464, 35773, 39359.21, Request_519
9636, 34711, 39386.17, Request_520
26138, 17699, 39396.51, Request_521
38140, 10671, 39401.41, Request_522
25444, 32995, 39462.76, Request_523
52884, 53155, 39481.34, Request_524
37938, 45897, 39507.98, Request_525
22290, 19041, 39560.29, Request_526
9876, 15635, 39562.7, Request_527
6730, 23415, 39585.9, Request_528
9416, 15457, 39586.81, Request_529
16488, 26607, 39688.01, Request_530
20564, 28767, 39710.16, Request_531
18718, 41865, 39790.91, Request_532
2870, 6165, 39878.92, Request_533
11294, 36743, 39878.93, Request_534
24250, 37979, 39934.7, Request_535
46338, 23449, 39938.01, Request_536
28976, 6821, 39940.36, Request_537
50604, 25331, 39952.39, Request_538
40328, 27773, 39979.92, Request_539
1352, 4859, 40118.41, Request_540
41370, 33455, 40148.57, Request_541
36376, 10777, 40279.29, Request_542
22014, 15851, 40291.23, Request_543
4184, 8433, 40408.5, Request_544
3834, 1773, 40430.76, Request_545
34526, 44225, 40431.16, Request_546
17664, 12159, 40447.94, Request_547
42084, 45609, 40456.88, Request_548
46128, 14155, 40476.89, Request_549
38992, 17457, 40518.38, Request_550
15760, 24589, 40613.03, Request_551
39420, 54929, 40614.58, Request_552
11054, 27645, 40623.43, Request_553
12728, 27649, 40636.02, Request_554
4248, 6619, 40698.34, Request_555
34048, 26597, 40705.92, Request_556
5250, 14747, 40709.06, Request_557
8340, 11799, 40724.26, Request_558
3606, 48553, 40740.12, Request_559
50418, 21117, 40809.55, Request_560
45298, 31061, 40889.35, Request_561
24802, 4033, 40917.22, Request_562
4240, 38131, 40962.49, Request_563
18986, 50389, 40973.91, Request_564
26718, 5895, 40977.4, Request_565
19918, 6423, 40991.75, Request_566
27412, 31395, 41001.65, Request_567
25042, 16501, 41032.38, Request_568
45072, 241, 41059.95, Request_569
12958, 4849, 41118.35, Request_570
1696, 20029, 41125.99, Request_571
15828, 23017, 41257.16, Request_572
21616, 7829, 41281.42, Request_573
15850, 46017, 41286.0, Request_574
14710, 40331, 41287.74, Request_575
20148, 25005, 41310.05, Request_576
14448, 25349, 41366.54, Request_577
19018, 10779, 41420.12, Request_578
13758, 50571, 41447.29, Request_579
35020, 8417, 41473.57, Request_580
45072, 46473, 41616.84, Request_581
15918, 8487, 41634.79, Request_582
15918, 8487, 41634.79, Request_583
14258, 7405, 41669.19, Request_584
17870, 18395, 41675.56, Request_585
54958, 54957, 41703.76, Request_586
3650, 18423, 41704.93, Request_587
52936, 16333, 41715.1, Request_588
32124, 54971, 41723.94, Request_589
2872, 17665, 41725.73, Request_590
41178, 25327, 41727.95, Request_591
11244, 33419, 41750.56, Request_592
20596, 52905, 41809.67, Request_593
3928, 34307, 41836.85, Request_594
38942, 6765, 41844.61, Request_595
2124, 5183, 41861.72, Request_596
8570, 3073, 41896.87, Request_597
2490, 17665, 41917.9, Request_598
29172, 13867, 41918.15, Request_599
37574, 15657, 41927.17, Request_600
38058, 53723, 41966.87, Request_601
30596, 35249, 41989.84, Request_602
41784, 6195, 42001.97, Request_603
9122, 50387, 42019.35, Request_604
12600, 26359, 42023.53, Request_605
20636, 12485, 42046.78, Request_606
29236, 12575, 42071.4, Request_607
23610, 26139, 42077.49, Request_608
4976, 16465, 42087.19, Request_609
13692, 33507, 42132.71, Request_610
1106, 12959, 42140.15, Request_611
18610, 38177, 42164.39, Request_612
50374, 2239, 42166.86, Request_613
45796, 35953, 42167.37, Request_614
21464, 41255, 42174.51, Request_615
40410, 53129, 42250.45, Request_616
762, 759, 42258.84, Request_617
21464, 3515, 42271.29, Request_618
26596, 23009, 42285.04, Request_619
3834, 1773, 42326.88, Request_620
144, 22341, 42347.4, Request_621
53290, 9713, 42361.26, Request_622
22922, 4117, 42380.64, Request_623
1678, 18799, 42380.82, Request_624
26308, 53727, 42431.38, Request_625
26358, 20255, 42436.94, Request_626
19498, 39755, 42460.19, Request_627
14740, 24839, 42464.93, Request_628
16810, 21043, 42503.56, Request_629
41182, 48371, 42512.22, Request_630
13454, 16239, 42574.15, Request_631
7334, 3943, 42585.96, Request_632
13054, 26605, 42605.12, Request_633
13054, 26605, 42605.12, Request_634
38828, 15731, 42633.93, Request_635
13970, 6427, 42683.75, Request_636
25196, 39401, 42706.24, Request_637
20308, 4995, 42745.02, Request_638
50870, 36597, 42748.27, Request_639
12568, 25619, 42777.18, Request_640
33110, 8437, 42778.08, Request_641
3120, 4939, 42780.69, Request_642
28694, 4745, 42783.96, Request_643
16194, 2275, 42840.85, Request_644
13452, 51521, 42852.88, Request_645
45696, 6889, 42871.53, Request_646
17210, 3617, 42907.73, Request_647
50608, 36431, 42915.11, Request_648
22076, 53793, 42947.96, Request_649
356, 5885, 42957.82, Request_650
10020, 15179, 42964.7, Request_651
54964, 48893, 42967.11, Request_652
44338, 34279, 43013.82, Request_653
14264, 7489, 43013.83, Request_654
18162, 38885, 43032.94, Request_655
53282, 51441, 43109.69, Request_656
296, 10149, 43160.3, Request_657
28856, 39037, 43189.38, Request_658
3890, 2911, 43257.16, Request_659
34154, 15945, 43273.95, Request_660
38008, 14261, 43335.5, Request_661
4240, 24683, 43342.19, Request_662
738, 6711, 43409.96, Request_663
49590, 37335, 43417.68, Request_664
190, 6881, 43432.29, Request_665
14794, 12189, 43498.19, Request_666
23072, 40329, 43525.1, Request_667
4240, 2525, 43544.13, Request_668
7518, 27021, 43573.88, Request_669
24192, 27375, 43599.17, Request_670
3652, 25985, 43617.65, Request_671
4240, 10769, 43783.3, Request_672
37652, 2795, 43867.95, Request_673
26138, 32925, 43871.11, Request_674
38942, 38875, 43872.21, Request_675
45784, 9433, 43930.69, Request_676
30690, 16901, 44001.33, Request_677
15234, 43481, 44006.11, Request_678
6182, 28977, 44023.93, Request_679
25006, 4221, 44024.73, Request_680
1968, 36171, 44036.02, Request_681
45072, 25301, 44071.68, Request_682
25482, 34277, 44076.6, Request_683
13624, 1997, 44113.68, Request_684
13458, 18507, 44127.79, Request_685
23016, 27825, 44183.35, Request_686
21940, 51861, 44206.89, Request_687
50570, 36265, 44214.17, Request_688
34526, 9579, 44222.25, Request_689
13158, 21941, 44353.24, Request_690
38890, 33125, 44359.15, Request_691
52406, 15199, 44389.07, Request_692
7832, 4043, 44408.95, Request_693
21464, 3149, 44431.43, Request_694
5856, 37335, 44432.12, Request_695
18804, 15045, 44444.59, Request_696
27288, 2297, 44449.56, Request_697
6174, 38595, 44457.25, Request_698
36414, 9119, 44490.48, Request_699
15174, 21239, 44508.59, Request_700
4976, 24251, 44516.47, Request_701
8562, 42909, 44516.83, Request_702
14336, 52203, 44520.23, Request_703
16780, 38993, 44550.61, Request_704
3516, 3015, 44580.58, Request_705
54958, 54957, 44597.28, Request_706
33660, 909, 44624.74, Request_707
1478, 37335, 44684.9, Request_708
24590, 19475, 44712.3, Request_709
27190, 34527, 44717.81, Request_710
6190, 15199, 44729.61, Request_711
46840, 45801, 44867.78, Request_712
24842, 44479, 44944.84, Request_713
10980, 10025, 45046.24, Request_714
10392, 27831, 45050.87, Request_715
50870, 11165, 45054.42, Request_716
21940, 51861, 45055.66, Request_717
35604, 707, 45073.71, Request_718
26138, 15817, 45117.03, Request_719
3120, 9039, 45123.27, Request_720
38942, 1481, 45141.62, Request_721
17664, 3985, 45213.2, Request_722
546, 27369, 45221.94, Request_723
25678, 15905, 45246.56, Request_724
23432, 53289, 45251.32, Request_725
25800, 2295, 45280.63, Request_726
20304, 16257, 45281.7, Request_727
45072, 19047, 45388.96, Request_728
11538, 20091, 45424.38, Request_729
12172, 32943, 45439.48, Request_730
49254, 8011, 45449.21, Request_731
20146, 46137, 45470.18, Request_732
27372, 16773, 45508.13, Request_733
8244, 18379, 45577.61, Request_734
49730, 30579, 45585.7, Request_735
16048, 25779, 45589.89, Request_736
30000, 24593, 45602.68, Request_737
3580, 20309, 45602.94, Request_738
28976, 52033, 45609.43, Request_739
1352, 249, 45656.27, Request_740
55464, 5633, 45675.53, Request_741
21902, 22285, 45686.81, Request_742
34526, 53457, 45742.59, Request_743
48484, 29237, 45748.05, Request_744
3038, 2299, 45759.2, Request_745
51884, 2907, 45765.06, Request_746
3930, 51213, 45824.39, Request_747
30754, 29567, 45880.82, Request_748
32012, 5585, 45905.62, Request_749
34146, 21841, 45907.71, Request_750
43560, 15655, 45915.28, Request_751
14690, 38985, 45918.41, Request_752
11534, 32729, 45957.89, Request_753
8614, 17665, 45966.05, Request_754
25932, 4821, 45993.72, Request_755
25444, 40669, 46050.99, Request_756
9632, 32521, 46058.74, Request_757
54752, 45801, 46069.3, Request_758
19760, 33099, 46092.63, Request_759
44044, 8487, 46093.63, Request_760
3070, 26843, 46117.79, Request_761
33948, 25331, 46117.89, Request_762
50870, 9439, 46122.61, Request_763
52028, 30629, 46156.8, Request_764
34038, 37335, 46163.64, Request_765
51470, 20591, 46181.79, Request_766
15264, 37951, 46226.65, Request_767
14260, 39555, 46239.23, Request_768
25932, 4821, 46296.64, Request_769
49512, 22787, 46298.17, Request_770
31112, 12167, 46366.76, Request_771
9008, 8571, 46388.22, Request_772
41870, 11245, 46402.92, Request_773
5706, 21403, 46403.62, Request_774
9632, 53679, 46420.83, Request_775
9954, 48805, 46435.24, Request_776
29416, 37335, 46444.34, Request_777
12572, 43853, 46469.28, Request_778
5834, 18601, 46473.4, Request_779
